campaign_id,campaign_name,campaign_type,channel_id,audience_id,start_date,end_date,budget,status,objective,target_leads,expected_roi,created_by,last_modified
1,Content Marketing Campaign 1,Display,4,2,2024-04-11,2024-04-17,198061,Planning,Upsell,812,3.57,Brandon Hall,2024-03-15
2,Webinars Campaign 2,Direct Mail,4,4,2024-02-14,2024-09-30,159472,Paused,Awareness,1407,3.94,Christopher Bernard,2023-09-03
3,SEO Campaign 3,Influencer,5,7,2023-03-09,2023-05-12,16390,Completed,Upsell,1122,4.91,Juan Calderon,2024-03-27
4,Social Media Campaign 4,Email,4,7,2024-09-21,2024-11-18,80861,Planning,Lead Generation,927,2.83,Roy Martin,2023-09-17
5,Social Media Campaign 5,Influencer,3,5,2024-05-04,2024-10-20,196136,Active,Lead Generation,3886,2.83,Margaret Hawkins DDS,2024-09-07
6,Email Campaign 6,SEO,7,3,2024-07-20,2024-08-26,22350,Active,Upsell,2677,2.24,Dr. Marvin Thomas Jr.,2024-06-27
7,Direct Mail Campaign 7,Influencer,7,3,2024-01-29,2024-10-06,62493,Active,Upsell,4142,1.82,Brian Burton,2024-08-01
8,Direct Mail Campaign 8,Influencer,8,5,2023-11-05,2023-12-01,70906,Cancelled,Awareness,1038,3.89,Debra Davidson,2023-03-23
9,Content Marketing Campaign 9,Webinars,3,5,2023-11-14,2024-05-19,32894,Paused,Upsell,1729,2.03,Kimberly Osborne,2024-01-23
10,Email Campaign 10,Social Media,6,7,2023-01-01,2023-08-25,85612,Active,Awareness,2073,4.57,Angelica Tucker,2023-02-20
11,Paid Search Campaign 11,Events,9,2,2024-07-09,2024-11-20,74483,Cancelled,Upsell,3566,4.88,Nicole Vaughn,2024-06-04
12,SEO Campaign 12,Events,9,4,2023-10-19,2024-08-08,36720,Active,Lead Generation,624,2.68,Crystal Robinson,2023-02-21
13,Email Campaign 13,SEO,2,5,2024-04-05,2024-06-05,67391,Paused,Retention,1855,3.39,Sonya Johnston,2023-06-27
14,Social Media Campaign 14,Social Media,7,3,2023-12-12,2024-05-16,116038,Completed,Retention,543,3.86,Mrs. Jennifer Morgan,2024-09-21
15,Events Campaign 15,Paid Search,7,2,2023-07-01,2023-10-13,78018,Completed,Lead Generation,717,3.05,Krista Williams,2024-12-30
16,Display Campaign 16,Paid Search,7,4,2024-09-02,2024-12-27,131185,Active,Retention,580,2.08,James House,2024-07-27
17,Webinars Campaign 17,Events,3,2,2023-07-28,2024-07-25,82780,Active,Awareness,4844,4.08,Erik Williams,2023-12-15
